%time,field.joint1,field.joint2,field.joint3,field.joint4,field.joint5,field.joint6
1407436107748773811,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748812384,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748851310,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748893633,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748958778,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749000829,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749041123,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749079543,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749118314,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749158190,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749200767,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749241408,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749279499,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749318573,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749356363,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749395204,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749435148,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749475147,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749513063,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749553100,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749592148,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749635921,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749674241,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749713261,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749750483,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749790381,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749829434,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749868715,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749907988,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749949089,10.0,0.0,0.0,0.0,0.0,0.0
1407436107749988770,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750031984,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750072233,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750154736,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750194417,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750233760,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750274366,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750312371,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750351221,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750391936,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750432238,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750473326,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750510708,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750569268,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750610314,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750658777,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750704569,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750746446,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750784358,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750824072,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750862077,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750916478,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750960767,10.0,0.0,0.0,0.0,0.0,0.0
1407436107750998187,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751040449,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751078835,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751116732,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751155842,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751197101,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751235134,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751273987,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751314930,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751354206,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751391175,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751433096,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751471468,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751510403,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751549089,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751587748,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751629863,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751666643,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751708181,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751746788,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751788340,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751830500,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751866364,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751906728,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751943571,10.0,0.0,0.0,0.0,0.0,0.0
1407436107751982083,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752022103,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752061972,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752103335,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752141937,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752179164,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752221464,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752303089,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752342308,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752382484,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752420092,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752460140,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752499486,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752566906,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752607709,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752645337,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752685250,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752723112,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752763834,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752802637,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752840666,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752879631,10.0,0.0,0.0,0.0,0.0,0.0
1407436107752953547,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753010648,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753067327,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753123479,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753178365,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753235030,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753290392,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753345538,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753400329,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753455510,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753511101,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753566048,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753621291,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753676746,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753730358,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753787682,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753842837,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753898358,10.0,0.0,0.0,0.0,0.0,0.0
1407436107753952608,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754008021,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754073728,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754166382,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754222525,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754277474,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754331249,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754387392,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754442444,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754497630,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754569563,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754625053,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754695301,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754749668,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754804981,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754858298,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754928309,10.0,0.0,0.0,0.0,0.0,0.0
1407436107754982288,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755039473,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755093396,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755147879,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755203081,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755258191,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755313937,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755367386,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755422802,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755478285,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755532176,10.0,0.0,0.0,0.0,0.0,0.0
